package_id,package_name,company_name,package_cc,package_type,package_price,detail,,,,,,,,id
AKA020,PMD120MD1 ,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,ป.3 ไดมอนด์,0,แคมเปญไดมอนด์ ประเภท 3 ไม่รวม พรบ. รถยนต์นั่งนิติบุคคล,,,,,,,,
AKA021,PME120EP10,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,3+ ZERO,0,แคมเปญซีโร่ญี่ปุ่น,,,,,,,,
AKA022,PME120EU75,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,3+ ZERO,0,แคมเปญซีโร่ยุโรป,,,,,,,,
AKA023,PMG120MG6,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,ป.3 โกลด์,0,แคมเปญโกลด์ ประเภท 3 รวม พรบ. รถยนต์คนั่งนิติบุคคล,,,,,,,,
AKA024,PMP120P010,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,3+ แพลทตินั่ม,0,"3+ ทุน 1 แสน,Deduct 2 พัน",,,,,,,,
AKA025,PMP120P015,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,3+ แพลทตินั่ม,0,"3+ ทุน 150,000,Deduct 2 พัน",,,,,,,,
AKA026,PMP120PD10,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,3+ แพลทตินั่ม,0,"3+ ทุน 1 แสน,Deduct 1 พัน",,,,,,,,
AKA027,PMP120PD15,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,3+ แพลทตินั่ม,0,"3+ ทุน 150,000,Deduct 1 พัน",,,,,,,,
AKA028,PMP120PN10,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,3+ แพลทตินั่ม,0,"3+ ทุน 100,000, No Deduct",,,,,,,,
AKA029,PMP120PN15,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,3+ แพลทตินั่ม,0,"3+ ทุน 150,000, No Deduct",,,,,,,,
AKA030,PMS120S015,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,2+,0,"2+ ทุน 150,000 ,Deduct 2,000",,,,,,,,
AKA031,PMS120SD15,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,2+,0,"2+ ทุน 150,000 ,Deduct 1,000",,,,,,,,
AKA032,PMS120SN10,อาคเนย์ประกันภัย,รถยนต์นั่งนิติบุคคล,2+,0,"2+ ทุน 100,000 ,No Deduct",,,,,,,,
